2pac	All Eyez On Me
3 Doors Down	The Greatest Hits
Adele	21
Alanis Morissette	Jagged Little Pill
Alphaville	Forever Young
Amy Winehouse	Back To Black
Arcade Fire	Neon Bible
Arcade Fire	The Suburbs
Audioslave	Audioslave
Augustana	Augustana
Augustana	Life Imitating Life
AWOLNATION	Here Come The Runts
B.o.B.	Strange Clouds
Band Of Skulls	Baby Darling Doll Face Honey
Band Of Skulls	Love Is All You Love
Bastille	Bad Blood
Bebe	Un Pokito De Rocanrol
Bebe	Y.
Beck	Odelay
Belly	Immigrant
Berlin	Love Life
Billy Joel	52nd Street
Billy Joel	The Stranger
Blitzen Trapper	Furr
Blitzen Trapper	VII
Blitzen Trapper	Wild And Reckless
Blondie	Eat To The Beat
Blondie	Parallel Lines
Blue October	Foiled
Blue Oyster Cult	Cultosauros Erectus
Blue Oyster Cult	Spectres
Blues Traveller	Four
Blues Traveller	Hurry Up and Hang Around
Bob Dylan	Blood On The Tracks
Bonde do Rolê	Tropicalbacanal
Boogie	Everythings For Sale
Brandi Carlile	Bear Creek
Broken Bells	Broken Bells
Bruce Springsteen	Born In The U.S.A.
Bruce Springsteen	Darkness On The Edge Of Town
Bruce Springsteen	Wrecking Ball
Cake	Comfort Eagle
Cake	Prolonging The Magic
Chris Stapleton	From A Room: Volume 1
Christina Perri	Lovestrong
Chvrches	Every Open Eye
Chvrches	The Bones Of What You Believe
Civil Twilight	Holy Weather
Coast Modern	Coast Modern
Death Cab For Cutie	Codes And Keys
Death Cab For Cutie	Narrow Stairs
Dengue Fever	The Deepest Lake
Depeche Mode	Violator
Divine Fits	A Thing Called Divine Fits
Dropkick Murpheys	Going Out In Style
Dropkick Murpheys	SIGNED And SEALED In BLOOD
Ed Sheeran	+
Ed Sheeran	x
Electric Light Orchestra	Time
Eminem	Kamikaze
Eurythmics	Ultimate Collection
Evanescence	Evanescence
Evanescence	Fallen
Everclear	Invisible Stars
Everclear	So Much For The Afterglow
Fall Out Boy	American Beauty/American Psycho
Fall Out Boy	From Under The Cork Tree
Fall Out Boy	M A N I A
Falling In Reverse	Coming Home
Ferdinand the Bull	Painting Over Pictures
Fitz And The Tantrums	More Than Just A Dream
Foals	Everything Not Saved Will Be Lost Part 1
Foreigner	Double Vision
Fort Minor	The Rising Tied
Foster The People	Torches
fun.	Some Nights
G. Love And Special Sauce	G. Love And Special Sauce
G. Love And Special Sauce	Yeah, It's That Easy
Gin Wigmore	Holy Smoke
Gorillaz	Demon Days
Gossip	A Joyful Noise
Gossip	Music For Men
Gotye	Making Mirrors
Green Day	¡DOS!
Green Day	¡TRÉ!
Green Day	¡UNO!
Green Day	American Idiot
GRiZ	Ride Waves
I Fight Dragons	Kaboom!
Imagine Dragons	Night Visions
Imagine Dragons	Smoke + Mirrors
Indigo Girls	Rites of Passage
Ingird Michaelson	Lights Out
Isreal Kamakawiwo'ole	Facing Future
Jet	Get Born
Joe Jackson	Look Sharp!
Jonsi	Go
Journey	Greatest Hits
Julian Casablancas	Phrazes For The Young
K.Flay	Every Where Is Some Where
Kansas	Point Of Know Return
Kasabian	Velociraptor!
Kasabian	West Ryder Pauper Lunatic Asylum
Kate Bush	Hounds of Love
Kimbra	Vows
KT Tunstall	Eye To The Telescope
KT Tunstall	KIN
KT Tunstall	Tiger Suit
Lady Gaga	The Fame Monster
LCD Soundsystem	Sound Of Silver
LCD Soundsystem	This Is Happening
Led Zeppelin	IV
Led Zeppelin	Led Zeppelin III (2014 Remaster)
Led Zeppelin	Physical Graffiti
Lifehouse	Almeria
Lifehouse	Who We Are
Linkin Park	Meteora
Logic	Confessions Of A Dangerous Mind
London Grammar	If You Wait
Lorde	Pure Heroine
Lupe Fiasco	Lasers
Lupe Fiasco	Lupe Fiasco's The Cool
M83	Hurry Up, We're Dreaming
Macklemore & Ryan Lewis	The Heist
Maroon 5	Hands All Over
Maroon 5	Songs About Jane
Massive Attack	Blue Lines
Matisyahu	Spark Seeker
MCID	Highly Suspect
Meat Loaf	Bat Out Of Hell
Metric	Fantasies
Metric	Synthetica
Michael Franti	All Rebel Rockers
Michael Franti	All People
Michael Franti	Yell Fire!
Michael Jackson	Off The Wall
Mike Doughty	Haughty Melodic
Milky Chance	Blossom
Milky Chance	Mind the Moon
Mister Wives	Connect The Dots
Modest Mouse	Good News for People Who Love Bad News
Moon Taxi	Let The Record Play
Mumford & Sons	Babel
Mumford & Sons	Sigh No More
Murs	A Strange Journey Into The Unimaginable
Muse	Simulation Theory
Muse	The Resistance
Neon Trees	Picture Show
Neon Trees	Pop Psychology
Nirvana	Nevermind
Nirvana	Nirvana
Noel Gallagher's High Flying Birds	Who Built The Moon?
Nothing But Thieves	Nothing But Thieves
Nothing More	The Stories We Tell Ourselves
Of Monsters And Men	FEVER DREAM
Of Monsters And Men	My Head Is An Animal
OneRepublic	Dreaming Out Loud
OneRepublic	Native
OneRepublic	Waking Up
Orishas	Gourmet
Ozomotli	Embrace The Chaos
Ozomotli	Non-Stop: Mexico To Jamaica
P!nk	The Truth About Love
Panda Bear	Panda Bear Meets The Grim Reaper
Panic! At The Disco	Pray For The Wicked
Passion Pit	Kindred
Pet Shop Boys	Please
Pete Townshend	Empty Glass
Pink	Try This
Pink Floyd	The Wall
Plain White T's	Wonders Of The Younger
Plan B	Heaven Before All Hell Breaks Loose
Portishead	Dummy
Prince	Purple Rain
Prophets of Rage	Prophets or Rage
Queen	A Night At The Opera
Queen	Jazz
Queen	News Of The World
Queen	The Game
Queens Of The Stone Age	Villains
Red Hot Chili Peppers	Californication
Red Hot Chili Peppers	Stadium Arcadium
Rodrigo Y Gabriela	Rodrigo Y Gabriela
Ryan Bingham	Junky Star
Ryan Bingham	Mescalito
Ryan Shupe and the Rubber Band	Simplify
Santana	Supernatural
Seether	Holding Onto Strings Better Left To Fray
Shaggy	Wah Gwaan?!
Shinedown	Amaryllis
Shiny Toy Guns	Season Of Poison
Shovels & Rope	O Be Joyful
Shovels & Rope	Swimmin Time
Silversun Pickups	Carnavas
Silversun Pickups	Neck Of The Woods
Silversun Pickups	Swoon
Sixpence None The Richer	Lost In Translation
Smashing Pumpkins	Oceania
Snow Patrol	Eyes Open
Snow Patrol	Wildness
Spoon	Ga Ga Ga Ga Ga
Spoon	Hot Thoughts
Spoon	Transference
Stick Figure	Set In Stone
Sting	...Nothing Like The Sun
Sting	The Dream Of The Blue Turtles
Supertramp	Crime Of The Century
Sweet	Desolation Boulevard
Switchfoot	Fading West
SYML	SYML
Tears For Fears	Sowing The Seeds Of Love
The 1975	The 1975
The All-American Rejects	Move Along
The B-52s	The B-52s
The Black Keys	Brothers
The Black Keys	Magic Potion
The Cars	Candy-O
The Cars	The Cars
The Civil Wars	Barton Hollow
The Cranberries	In The End
The Cure	Kiss Me, Kiss Me, Kiss Me
The Decemberists	I'll Be Your Girl
The Doors	L.A. Woman
The Fratellis	In Your Own Sweet Time
The Fray	How To Save A Life
The Gaslight Anthem	Handwritten
The Gaslight Anthem	The '59 Sound
The Head And The Heart	Let's Be Still
The Head And The Heart	Living Mirage
The Heavy	The Glorious Dead
The Heavy	The House That Dirt Built
The Killers	Hot Fuss
The Killers	Wonderful Wonderful
The Lone Bellow	Walking Into A Storm
The Naked And Famous	Passive Me, Aggressive You
The National	High Violet
The Offspring	Days Go By
The Pains Of Being Pure At Heart	Days Of Abandon
The Postal Service	Give Up
The Raconteurs	Consolers Of The Lonely
The Sheepdogs	Changing Colours
The Sheepdogs	The Sheepdogs
The Shins	Heartworms
The Shins	Port Of Morrow
The Shins	Wincing The Night Away
The Wallflowers	Glad All Over
The Who	Who's Next
The xx	The xx
Tom Petty	Damn The Torpedos
Toto	IV
twenty one pilots	Blurryface
USS (Ubiquitous Synergy Seeker)	Questamation
Vampire Weekend	Contra
Vampire Weekend	Father Of The Bride
Vic Mensa	The Autobiography
Violent Femmes	Violent Femmes
Volbeat	Guitar Gangsters & Cadillac Blood
Walk Off The Earth	Sing It All Away
Warren Zevon	Excitable Boy
